spec_id,family,model,window,sample_rule,y,term,b,se,t,p,ci95_low,ci95_high,sign,p_lt_0_05,pre_estimator_N,pre_estimator_projects,estimator_N,estimator_projects,rsquared_within,rsquared_overall,rsquared_between
R6_1_D_GE6,R6_1_MIN_USABLE_MONTHS,D,2024-01..2025-12,elig_D==1 and project has >=6 eligible months,ln_open_age,ln_contributors,-0.019633071489942353,0.00691927302080968,-2.837447146672199,0.0045521717650347515,-0.033195419988151134,-0.006070722991733571,negative,True,20852,871,20852,871,0.12681873837390256,-0.04549570684905291,-0.045745653199246616
R6_1_D_GE12,R6_1_MIN_USABLE_MONTHS,D,2024-01..2025-12,elig_D==1 and project has >=12 eligible months,ln_open_age,ln_issues_new,-0.07587634836912667,0.008494064726683084,-8.932866749975455,0.0,-0.09252541936174531,-0.05922727737650803,negative,True,20846,870,20846,870,0.12673569317640643,-0.045398834075226935,-0.04564336072636266
R6_1_D_GE12,R6_1_MIN_USABLE_MONTHS,D,2024-01..2025-12,elig_D==1 and project has >=12 eligible months,ln_open_age,ln_contributors,-0.019560175816616957,0.006921813869778024,-2.8258742844878366,0.004719861186688323,-0.03312750479559312,-0.005992846837640793,negative,True,20846,870,20846,870,0.12673569317640643,-0.045398834075226935,-0.04564336072636266
R6_2_A_COMMON,R6_2_COMMON_SUPPORT,A,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,ln_open_age,ln_resolution,-0.0083082555626973,0.0022503957104560387,-3.6919087270272337,0.00022349135000387932,-0.01271936238719833,-0.003897148738196272,negative,True,13781,805,13781,805,0.13965322065699093,-0.08208358801662796,-0.07063469067142769
R6_2_A_COMMON,R6_2_COMMON_SUPPORT,A,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,ln_open_age,ln_issues_new,-0.0949591002825939,0.012862802041429729,-7.382458345914106,1.6497914145929826e-13,-0.12017208553826626,-0.06974611502692153,negative,True,13781,805,13781,805,0.13965322065699093,-0.08208358801662796,-0.07063469067142769
R6_2_A_COMMON,R6_2_COMMON_SUPPORT,A,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,ln_open_age,ln_contributors,-0.010847341419730074,0.007888432458090589,-1.3750946689801151,0.16912588528945083,-0.026309830122860124,0.004615147283399975,negative,False,13781,805,13781,805,0.13965322065699093,-0.08208358801662796,-0.07063469067142769
R6_2_B_COMMON,R6_2_COMMON_SUPPORT,B,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,asinh_backlog,ln_resolution,0.01615825304498092,0.0025356925932824904,6.372323320179687,1.9249313254476874e-10,0.01118792233776568,0.02112858375219616,positive,True,13781,805,13781,805,-0.041909004708869935,0.044921604844036955,0.042674023743830336
R6_2_B_COMMON,R6_2_COMMON_SUPPORT,B,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,asinh_backlog,ln_issues_new,0.047946079057557364,0.012752117128807045,3.7598524678892042,0.0001707613324479773,0.022950052522153926,0.0729421055929608,positive,True,13781,805,13781,805,-0.041909004708869935,0.044921604844036955,0.042674023743830336
R6_2_B_COMMON,R6_2_COMMON_SUPPORT,B,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,asinh_backlog,ln_contributors,-0.0077482437157242205,0.007948497552658043,-0.9748060767953742,0.32967467040022225,-0.023328468845087994,0.007831981413639551,negative,False,13781,805,13781,805,-0.041909004708869935,0.044921604844036955,0.042674023743830336
R6_2_C_COMMON,R6_2_COMMON_SUPPORT,C,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,ln_resolution,ln_issues_new,-0.23307673177740534,0.03554918275902388,-6.556458227390352,5.719091866751569e-11,-0.30275836190734073,-0.16339510164746995,negative,True,13781,805,13781,805,-0.00743650702849008,-0.830185334433237,-0.8616953971187942
